Potential,Current,Average R,StdError of Mean
130.1,1.3,3.8,0.29439202887759497
189.8,1.91,3.3,0.16329931618554525
190.0,1.45,4.35,0.2986078811194819
177.0,2.0,3.025,0.2056493779875511
193.0,1.0,6.2749999999999995,0.325
