IR,Potential,PotErr,IRerr
6.678610591998924e-10,130.1,0.05,1.0206606273083355e-10
1.0872435459698985e-09,189.8,0.05,1.0558323711534328e-10
1.1139702215286312e-09,190.0,0.05,1.520991776016512e-10
9.852234150369672e-10,177.0,0.05,1.380192164488904e-10
1.0862088150782562e-09,193.0,0.05,1.108783520170678e-10
